		Undiscounted	Discounted
Sims	Runs	Reward	Error	Reward	Error	Time	No. Terminated
2	100	-111.8	6.305	-99.29	4.6	0.01446	99
4	100	-94.31	4.724	-84.18	3.762	0.05914	98
8	100	-92.17	3.963	-78.18	2.901	0.1814	75
16	100	-73.76	3.942	-63.46	2.822	0.4186	80
32	100	-74.3	4.082	-61.73	2.839	1.09	74
64	100	-66.31	3.68	-57.39	2.757	2.946	88
128	100	-50.52	3.058	-44.53	2.324	7.864	96
256	100	-38.33	1.919	-35.28	1.557	17.43	99
512	100	-28.4	1.636	-26.84	1.468	38.01	100
1024	100	-24.54	1.755	-23.2	1.574	84.66	100
2048    100     -28.66  1.655   -26.98  1.484   15.56   100
4096    100     -26.91  1.607   -25.68  1.41    54.45   100
8192    100     -30.86  1.626   -29.2   1.454   58.6    100
16384   100     -28.33  1.412   -27.03  1.282   106     100
32768	100	-26.85	1.65	-25.4	1.515	144.1	100
65536	100	-28.31	1.639	-26.6	1.475	277.3	100
