		Undiscounted	Discounted
Sims	Runs	Reward	Error	Reward	Error	Time	No. Terminated
2	100	-106	4.743	-95.99	3.75	0.0008434	99
4	100	-104.4	4.544	-92.38	3.476	0.001652	88
8	100	-91.45	4.183	-77.15	3.085	0.003172	71
16	100	-88.84	3.972	-74.96	2.723	0.00524	69
32	100	-88.73	4.191	-75.64	3.01	0.01072	74
64	100	-74.22	3.891	-66.8	2.919	0.02041	91
128	100	-66.65	2.683	-61.06	2.067	0.04169	96
256	100	-58.73	2.276	-54.98	1.95	0.08721	100
512	100	-52.26	1.837	-49.41	1.592	0.1939	100
1024	100	-46.13	1.664	-44.31	1.5	0.4103	100
2048	100	-43.51	1.38	-42.22	1.259	0.8478	100
4096	100	-43.73	1.204	-42.67	1.097	1.798	100
8192	100	-41.64	1.292	-40.75	1.191	3.709	100
16384	100	-41.47	1.294	-40.63	1.189	7.431	100
32768	100	-41.97	1.213	-40.93	1.102	15.73	100
65536	100	-42.99	1.185	-42.06	1.096	18.68	100
