		Undiscounted	Discounted
Sims	Runs	Reward	Error	Reward	Error	Time	No. Terminated
2	100	-107.3	5.038	-96.53	4.019	0.01322	100
4	100	-99.82	4.997	-87.62	3.618	0.05169	92
8	100	-87.58	3.931	-75.77	2.883	0.1479	78
16	100	-88.3	4.556	-74.81	3.244	0.1056	74
32	100	-76.85	4.038	-64.42	2.854	0.3905	75
64	100	-73.69	4.457	-62.31	3.144	1.253	79
128	100	-56.19	3.528	-49.12	2.618	3.807	93
256	100	-46.77	2.636	-41.46	2.07	11.11	100
512	100	-37.22	2.382	-33.23	2.012	27.08	100
1024	100	-30.54	1.975	-27.38	1.674	69.59	100
2048	100	-32.92	1.93	-29.33	1.623	21.34	100
4096	100	-31.64	2.199	-28.19	1.859	79.41	100
8192	100	-29.96	1.787	-26.91	1.531	77.3	100
16384	100	-32.02	1.883	-28.67	1.605	149.2	100
32768	100	-31.36	1.809	-28.13	1.542	290.8	100
65536   100     -31.54  1.909   -28.44  1.645   546.5   100
