		Undiscounted	Discounted
Sims	Runs	Reward	Error	Reward	Error	Time	No. Terminated
2	100	-107.2	4.875	-96.34	3.802	0.0007566	100
4	100	-107.5	5.57	-93.83	4.178	0.001485	84
8	100	-90.15	4.649	-75.83	3.408	0.002769	70
16	100	-79.51	4.47	-69.11	3.251	0.004964	80
32	100	-74.04	4.194	-64.29	2.938	0.009811	82
64	100	-78.32	4.057	-69.6	3.024	0.02138	88
128	100	-65.28	4.051	-59.26	2.965	0.04233	97
256	100	-56.11	1.929	-52.96	1.722	0.09056	100
512	100	-49.48	1.677	-47.1	1.503	0.1984	100
1024	100	-42.21	1.259	-40.78	1.153	0.4013	100
2048	100	-43.18	1.475	-41.74	1.337	0.8892	100
4096	100	-39.63	1.269	-38.8	1.184	1.808	100
8192	100	-40.48	1.167	-39.59	1.08	3.755	100
16384	100	-38.74	1.247	-37.93	1.134	4.975	100
32768	100	-38.65	1.222	-38.04	1.143	10.9	100
65536	100	-38.94	1.184	-38.31	1.122	23.03	100
