		Undiscounted	Discounted
Sims	Runs	Reward	Error	Reward	Error	Time	No. Terminated
2	100	-100.4	4.056	-91	3.276	0.0007323	100
4	100	-100.2	4.695	-89.36	3.7	0.001387	90
8	100	-88.55	4.136	-76.52	3.081	0.002834	79
16	100	-96.28	4.626	-78.93	3.204	0.005441	59
32	100	-79.02	4.109	-68.99	2.958	0.01068	82
64	100	-74.67	3.651	-66.39	2.733	0.02161	89
128	100	-56.52	2.452	-52.66	2.083	0.04237	100
256	100	-47.13	1.917	-44.21	1.708	0.09241	100
512	100	-40.95	1.855	-39.1	1.721	0.2064	100
1024	100	-38.71	1.416	-37.16	1.301	0.4586	100
2048	100	-33.15	1.354	-32.39	1.276	0.9312	100
4096	100	-33.9	1.443	-32.97	1.371	1.981	100
8192	100	-31.36	1.399	-30.63	1.326	3.887	100
16384	100	-32.5	1.475	-31.77	1.387	8.05	100
32768	100	-33.26	1.57	-32.53	1.476	10.86	100
65536	100	-30.98	1.526	-30.26	1.442	22.21	100
