		Undiscounted	Discounted
Sims	Runs	Reward	Error	Reward	Error	Time	No. Terminated
2	100	-107	5.192	-96.04	4.117	0.01424	100
4	100	-87.3	4.115	-78.39	3.175	0.05446	96
8	100	-84	3.711	-73.27	2.765	0.1805	83
16	100	-77.4	4.502	-66.2	3.204	0.1188	81
32	100	-68.47	3.955	-58.08	2.836	0.4698	81
64	100	-51.17	3.516	-44.8	2.519	1.498	91
128	100	-47.05	3.197	-41.09	2.329	4.85	97
256	100	-32.94	1.878	-30.14	1.584	12.03	100
512	100	-23.34	1.787	-21.7	1.563	27.69	100
1024	100	-21.47	1.693	-20.04	1.496	62.7	100
2048	100	-12.88	1.455	-12.2	1.308	15.13	100
4096	100	-13.82	1.558	-13.22	1.408	59.41	100
8192	100	-13.01	1.289	-12.68	1.186	42.36	100
16384	100	-12.29	1.152	-11.99	1.079	147.7	100
32768	100	-10.36	1.242	-10.25	1.161	151.4	100
65536	100	-11.19	1.347	-10.99	1.252	283	100
